Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Bsmt Qual,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Cars,Wood Deck SF,Open Porch SF,Enclosed Porch,Property Age,Yrs Since Remod,MS Zoning_FV,MS Zoning_RL,MS Zoning_RM,Neighborhood_BrkSide,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,House Style_2Story,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Garage Type_Attchd,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_NA,SalePrice
34.0,4571,5,5,0.0,2,3,1,0.0,624.0,1,720,1344,1,4,2,0,3.0,0,0,96,92,58,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,98000
80.0,8816,5,6,0.0,2,3,3,651.0,1121.0,2,0,1121,1,3,2,0,2.0,0,80,0,46,46,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,139000
71.0,8197,6,5,148.0,2,3,1,0.0,660.0,4,0,1285,1,3,2,1,2.0,138,0,0,30,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,143500
72.0,8640,7,5,0.0,2,4,6,24.0,756.0,4,783,1547,2,3,3,0,2.0,169,45,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,215200
109.0,8724,5,5,0.0,2,4,4,492.0,894.0,3,0,894,1,3,2,1,2.0,0,0,0,39,39,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,129000
40.0,5664,8,5,0.0,3,4,6,1158.0,1501.0,4,0,1659,2,2,4,1,2.0,212,59,0,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,278000
103.0,12867,8,5,0.0,3,5,1,0.0,1209.0,4,1044,2253,2,3,4,1,2.0,243,142,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,344133
68.73849737914968,7980,6,7,0.0,2,4,5,935.0,1168.0,4,0,1187,2,3,2,0,2.0,483,21,0,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,185000
100.0,34650,5,5,0.0,2,3,3,1056.0,1056.0,2,0,1056,1,3,2,0,2.0,264,0,0,51,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,145000
92.0,10573,6,6,3.0,2,3,3,1312.0,1453.0,4,0,1453,2,3,2,1,2.0,0,49,0,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,187500
65.0,8450,5,8,0.0,2,3,6,553.0,894.0,4,0,894,1,3,2,1,1.0,416,144,0,45,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,138500
68.73849737914968,11700,5,6,0.0,2,3,4,606.0,942.0,4,673,1938,2,4,3,1,1.0,0,40,0,71,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,198000
60.0,8064,5,7,0.0,2,3,1,0.0,672.0,4,252,924,1,3,2,1,2.0,0,0,0,58,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,122900
80.0,9600,8,5,0.0,3,4,5,1104.0,2524.0,2,0,2524,2,4,3,1,2.0,474,120,0,28,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,278000
68.73849737914968,11435,8,7,0.0,2,4,1,0.0,792.0,1,725,1517,1,3,3,2,2.0,0,0,0,77,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,230000
30.0,9549,8,5,0.0,3,4,2,437.0,1494.0,4,0,1494,1,2,4,1,2.0,0,30,0,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,270000
60.0,10950,6,6,0.0,2,3,5,441.0,948.0,2,0,948,1,2,2,0,2.0,0,48,0,55,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,125000
79.0,10637,8,5,336.0,3,5,6,1288.0,1705.0,4,0,1718,2,3,3,1,3.0,208,44,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,297000
80.0,9000,6,6,82.0,2,4,1,0.0,160.0,1,0,1142,1,2,2,1,1.0,0,28,64,51,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,113500
41.0,2665,5,6,0.0,2,3,5,548.0,757.0,4,550,1475,2,4,2,1,1.0,104,26,0,29,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,127000
105.0,11751,6,6,480.0,2,4,4,705.0,1844.0,4,0,1844,2,3,2,1,2.0,0,122,0,33,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,190000
80.0,9600,7,6,320.0,2,3,5,916.0,1242.0,1,0,1242,1,3,2,1,2.0,0,0,0,34,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,175500
60.0,8428,5,7,0.0,2,4,6,420.0,990.0,4,0,990,1,3,2,0,1.0,256,0,0,13,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,146000
75.0,9937,5,6,0.0,3,3,4,830.0,1256.0,3,0,1256,1,3,2,0,1.0,736,68,0,43,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,147500
107.0,13891,10,5,0.0,4,5,6,1386.0,2076.0,4,0,2076,2,2,4,1,3.0,216,229,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,465000
68.73849737914968,9101,5,6,104.0,2,4,6,1097.0,1097.0,4,0,1110,1,1,3,1,2.0,303,30,0,31,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,165500
81.0,12150,5,5,335.0,2,3,1,0.0,1050.0,4,745,1795,2,4,2,0,1.0,0,0,0,54,54,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,131500
70.0,11200,5,5,0.0,2,3,3,906.0,1040.0,4,0,1040,1,3,2,0,1.0,0,0,0,43,43,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,129500
100.0,9670,8,6,40.0,2,3,2,210.0,608.0,2,890,1873,1,4,2,2,2.0,0,0,207,73,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,257076
60.0,10998,5,5,0.0,2,3,2,408.0,984.0,4,620,1604,2,3,2,0,2.0,0,68,0,68,49,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,117000
60.0,7200,7,6,0.0,2,4,1,0.0,776.0,2,651,1502,1,3,2,1,1.0,0,0,112,77,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,149000
80.0,9920,5,5,110.0,2,3,3,354.0,1056.0,2,0,1063,1,3,2,0,1.0,0,0,164,56,56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,128000
36.0,2448,7,5,106.0,3,4,1,0.0,764.0,4,862,1626,2,2,3,0,2.0,0,27,0,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,155000
68.73849737914968,2998,6,5,513.0,3,4,6,353.0,756.0,4,756,1524,2,2,3,0,2.0,0,32,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,166000
65.0,7804,4,3,0.0,2,3,4,622.0,1122.0,2,653,1981,2,4,3,2,2.0,431,44,0,81,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,135000
80.0,16692,7,5,184.0,2,4,4,790.0,1392.0,2,1392,2784,3,5,3,2,2.0,0,112,0,28,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,250000
21.0,1476,4,7,0.0,2,3,6,176.0,546.0,4,546,1092,1,3,2,0,0.0,200,26,0,40,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,76000
75.0,10170,6,6,522.0,2,3,1,0.0,216.0,2,0,1575,1,2,3,1,2.0,0,0,0,55,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,155000
80.0,9364,6,7,143.0,2,3,5,371.0,663.0,2,689,1352,1,4,2,0,1.0,379,36,0,41,41,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,158000
24.0,2544,7,5,0.0,3,4,6,368.0,600.0,4,600,1200,2,2,3,0,2.0,0,172,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,149500
82.0,9888,5,6,0.0,2,3,4,486.0,936.0,2,0,936,1,2,2,0,1.0,0,0,160,52,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,121000
68.0,7942,6,7,0.0,2,3,3,85.0,1040.0,2,0,1040,1,3,2,0,1.0,0,0,0,54,54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,136000
68.73849737914968,15038,6,5,0.0,2,4,3,138.0,916.0,3,720,1636,2,3,2,1,2.0,168,84,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,173000
92.0,11764,8,7,348.0,3,4,6,524.0,1152.0,4,1106,2270,2,4,3,1,3.0,132,57,0,11,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,290000
75.0,9000,8,5,0.0,3,4,6,64.0,1184.0,4,1426,2610,2,4,4,1,2.0,208,364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,303477
68.73849737914968,20062,7,7,0.0,3,4,5,1092.0,1420.0,3,0,1483,1,1,2,2,2.0,496,0,0,33,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,270000
81.0,7308,5,5,0.0,1,3,3,360.0,936.0,3,780,1740,1,2,4,1,1.0,0,0,236,88,58,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,122250
70.0,8750,5,5,0.0,2,3,3,172.0,1382.0,3,0,1382,1,3,3,0,1.0,280,0,0,54,54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,153000
70.0,8402,5,5,0.0,2,4,5,206.0,1120.0,4,0,1120,1,3,2,0,0.0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,147000
63.0,4000,7,8,0.0,2,4,6,246.0,531.0,2,531,1098,1,2,2,1,1.0,0,0,0,77,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,148500
32.0,3363,7,5,117.0,3,4,1,0.0,976.0,4,732,1708,2,3,3,0,2.0,0,40,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,130000
94.0,13615,9,5,510.0,4,5,1,0.0,1802.0,4,0,1802,2,3,4,1,3.0,158,105,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,372000
43.0,3013,7,5,145.0,3,4,6,16.0,1362.0,4,0,1506,2,2,3,1,2.0,142,20,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,213490
44.0,17485,7,5,96.0,3,4,6,1346.0,1508.0,4,0,1508,1,1,3,2,2.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,308030
68.73849737914968,23730,7,5,668.0,3,5,6,700.0,1840.0,4,0,2032,3,3,3,0,3.0,0,46,192,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,300000
79.0,8910,6,6,0.0,2,3,5,655.0,655.0,4,0,1194,1,3,2,1,2.0,0,0,192,47,47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,159500
24.0,2522,7,5,50.0,3,4,1,0.0,970.0,4,739,1709,2,3,3,0,2.0,0,40,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,137500
73.0,8688,7,5,228.0,3,4,1,0.0,1616.0,4,0,1616,2,3,3,0,3.0,208,59,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,232000
68.73849737914968,6291,6,6,0.0,3,3,1,0.0,768.0,2,0,768,1,1,2,0,2.0,0,0,84,78,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,93850
68.73849737914968,17529,5,5,65.0,2,3,1,0.0,872.0,1,0,872,1,2,1,1,1.0,0,0,116,82,56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,105000
60.0,6324,4,6,0.0,2,3,1,0.0,520.0,1,0,520,1,1,1,0,1.0,49,0,87,81,58,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,68500
80.0,11600,5,5,361.0,2,3,3,443.0,1105.0,2,1169,2274,2,5,2,0,2.0,0,0,0,50,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,154300
50.0,7288,5,7,0.0,3,3,1,0.0,936.0,4,665,1601,2,3,2,0,0.0,0,0,0,82,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,129850
35.0,4571,5,7,0.0,2,3,4,168.0,616.0,4,616,1232,1,3,2,0,2.0,280,0,143,97,57,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,114000
63.0,17423,9,5,748.0,4,5,6,1904.0,2216.0,4,0,2234,2,1,4,1,3.0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,501837
100.0,12665,5,8,0.0,2,3,1,0.0,876.0,3,540,1416,1,4,2,1,3.0,418,0,194,93,58,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,153900
60.0,9000,4,7,0.0,2,3,5,240.0,864.0,3,0,864,1,3,2,0,2.0,200,0,0,38,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,130000
32.0,4500,6,5,197.0,2,5,6,864.0,1189.0,4,0,1189,2,2,2,0,2.0,0,122,0,11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,160500
48.0,6373,9,5,572.0,4,5,6,415.0,1666.0,4,0,1666,2,2,3,1,2.0,228,75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,310090
67.0,10083,7,5,0.0,3,4,6,833.0,1176.0,4,0,1200,2,2,3,0,2.0,0,41,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,184900
70.0,13300,5,7,0.0,2,4,3,377.0,928.0,2,0,928,1,2,2,0,1.0,261,0,156,51,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,132000
80.0,9600,5,5,128.0,2,4,5,553.0,1288.0,2,0,1336,2,3,2,1,2.0,312,11,0,40,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,163000
30.0,3215,7,5,120.0,3,4,6,280.0,600.0,4,600,1200,2,2,3,0,2.0,0,172,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,155000
68.73849737914968,11104,6,6,0.0,2,3,6,828.0,1427.0,3,0,1427,2,4,2,0,2.0,0,0,0,39,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,183000
68.73849737914968,15295,7,5,254.0,3,4,6,762.0,860.0,4,780,1992,2,3,3,2,2.0,225,32,0,11,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,211000
70.0,9109,7,5,0.0,3,4,2,36.0,754.0,4,786,1540,2,3,3,0,2.0,140,32,0,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,184000
64.0,7018,5,5,0.0,2,0,0,0.0,0.0,2,0,1535,2,4,2,0,2.0,0,0,0,30,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,118858
68.73849737914968,14112,5,7,86.0,2,3,6,1014.0,1152.0,2,0,1152,1,3,2,1,2.0,227,0,0,46,46,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,180500
80.0,3523,8,5,30.0,3,4,6,60.0,1141.0,4,0,1151,2,2,3,0,2.0,0,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,166000
88.0,15312,6,5,54.0,2,3,4,588.0,1138.0,4,0,1138,1,3,2,1,2.0,0,0,0,49,49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,148000
74.0,7450,5,5,0.0,2,3,3,438.0,894.0,3,0,1074,1,2,3,1,2.0,0,72,0,51,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,124000
60.0,7313,9,5,246.0,4,5,6,1153.0,1561.0,4,0,1561,2,2,4,1,2.0,203,47,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,277500
83.0,10019,8,5,397.0,3,4,5,527.0,1342.0,4,1368,2726,2,4,3,1,3.0,307,169,168,11,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,350000
53.0,15401,9,5,296.0,4,5,6,1337.0,1884.0,4,0,1884,2,2,4,1,3.0,214,76,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,387000
58.0,9098,4,7,0.0,2,3,5,348.0,528.0,4,0,605,1,2,2,0,0.0,0,0,144,87,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,86000
103.0,16280,8,9,0.0,4,4,6,1044.0,1426.0,4,0,1671,3,3,4,1,2.0,280,90,0,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,290000
71.0,12209,6,5,0.0,2,5,5,690.0,804.0,4,1157,1961,2,3,3,1,2.0,125,192,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,215000
79.0,13110,5,6,144.0,2,4,6,962.0,1153.0,4,0,1193,2,2,2,0,2.0,140,153,0,34,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,146500
68.73849737914968,2651,7,5,0.0,3,4,6,641.0,673.0,4,709,1382,2,3,3,0,2.0,153,50,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,165000
60.0,8520,6,7,0.0,2,3,3,168.0,714.0,2,862,2526,2,5,3,1,1.0,88,15,0,91,57,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,136000
68.73849737914968,39384,6,6,902.0,2,4,5,1110.0,1705.0,4,0,1390,1,1,4,2,2.0,0,189,0,49,49,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,252000
36.0,2628,7,5,106.0,3,4,1,0.0,764.0,4,862,1626,2,2,3,0,2.0,0,27,0,7,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,175500
57.0,6406,5,6,0.0,2,3,5,421.0,690.0,2,690,1558,1,3,2,1,2.0,0,36,0,70,59,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,150000
